Date,MMM,NFLX,AMZN,TSLA,AAPL,FB,EA,BABA,GRUB,YELP
2018-01-01,231.65614318847656,270.29998779296875,1450.8900146484375,354.30999755859375,161.68931579589844,186.88999938964844,126.95999908447266,204.2899932861328,72.25,43.81999969482422
2018-02-01,217.7937774658203,291.3800048828125,1512.449951171875,343.05999755859375,172.01278686523438,178.32000732421875,123.69999694824219,186.13999938964844,99.41000366210938,43.560001373291016
2018-03-01,204.2036590576172,295.3500061035156,1447.3399658203125,266.1300048828125,162.68792724609375,159.7899932861328,121.23999786376953,183.5399932861328,101.47000122070312,41.75
2018-04-01,180.8270721435547,312.4599914550781,1566.1300048828125,293.8999938964844,160.24440002441406,172.0,117.9800033569336,178.5399932861328,101.13999938964844,44.849998474121094
2018-05-01,183.46888732910156,351.6000061035156,1629.6199951171875,284.7300109863281,181.19854736328125,191.77999877929688,130.91000366210938,198.00999450683594,107.20999908447266,42.849998474121094
2018-06-01,184.24603271484375,391.42999267578125,1699.800048828125,342.95001220703125,180.18408203125,194.32000732421875,141.02000427246094,185.52999877929688,104.91000366210938,39.18000030517578
2018-07-01,198.85684204101562,337.45001220703125,1777.43994140625,298.1400146484375,185.2262420654297,172.5800018310547,128.75,187.22999572753906,121.88999938964844,36.880001068115234
2018-08-01,197.5456085205078,367.67999267578125,2012.7099609375,301.6600036621094,221.57260131835938,175.72999572753906,113.41000366210938,175.00999450683594,144.11000061035156,47.119998931884766
2018-09-01,198.67173767089844,374.1300048828125,2003.0,264.7699890136719,220.5035400390625,164.4600067138672,120.48999786376953,164.75999450683594,138.6199951171875,49.20000076293945
2018-10-01,179.39007568359375,301.7799987792969,1598.010009765625,337.32000732421875,213.78314208984375,151.7899932861328,90.9800033569336,142.27999877929688,92.73999786376953,42.81999969482422
2018-11-01,196.04112243652344,286.1300048828125,1690.1700439453125,350.4800109863281,174.43751525878906,140.61000061035156,84.06999969482422,160.86000061035156,78.29000091552734,33.66999816894531
2018-12-01,180.8809356689453,267.6600036621094,1501.969970703125,332.79998779296875,154.61854553222656,131.08999633789062,78.91000366210938,137.07000732421875,76.80999755859375,34.9900016784668
2019-01-01,190.14617919921875,339.5,1718.72998046875,307.0199890136719,163.1463623046875,166.69000244140625,92.23999786376953,168.49000549316406,80.4000015258789,36.41999816894531
2019-02-01,196.8767852783203,358.1000061035156,1639.8299560546875,319.8800048828125,169.72360229492188,161.4499969482422,95.77999877929688,183.02999877929688,81.58000183105469,37.2599983215332
2019-03-01,198.61070251464844,356.55999755859375,1780.75,279.8599853515625,186.98968505859375,166.69000244140625,101.62999725341797,182.4499969482422,69.47000122070312,34.5
2019-04-01,181.14695739746094,370.5400085449219,1926.52001953125,238.69000244140625,197.54261779785156,193.39999389648438,94.6500015258789,185.57000732421875,66.79000091552734,40.060001373291016
2019-05-01,152.7002716064453,343.2799987792969,1775.0699462890625,185.16000366210938,172.34158325195312,177.47000122070312,93.08000183105469,149.25999450683594,65.1500015258789,30.729999542236328
2019-06-01,167.10821533203125,367.32000732421875,1893.6300048828125,223.4600067138672,195.5857696533203,193.0,101.26000213623047,168.99000549316406,77.98999786376953,34.18000030517578
2019-07-01,168.43861389160156,322.989990234375,1866.780029296875,241.61000061035156,210.5274658203125,194.22999572753906,92.5,173.11000061035156,67.62999725341797,35.04999923706055
2019-08-01,155.9059600830078,293.75,1776.2900390625,225.61000061035156,206.27816772460938,185.6699981689453,93.68000030517578,175.02999877929688,59.34000015258789,33.5099983215332
2019-09-01,159.9398651123047,267.6199951171875,1735.9100341796875,240.8699951171875,222.1694793701172,178.0800018310547,97.81999969482422,167.22999572753906,56.209999084472656,34.75
2019-10-01,160.51385498046875,287.4100036621094,1776.6600341796875,314.9200134277344,246.76019287109375,191.64999389648438,96.4000015258789,176.6699981689453,34.060001373291016,34.5099983215332
2019-11-01,165.1641845703125,314.6600036621094,1800.800048828125,329.94000244140625,265.1015625,201.63999938964844,101.01000213623047,200.0,43.119998931884766,34.68000030517578
2019-12-01,173.11968994140625,323.57000732421875,1847.8399658203125,418.3299865722656,292.163818359375,205.25,107.51000213623047,212.10000610351562,48.63999938964844,34.83000183105469
2020-01-01,155.69190979003906,345.0899963378906,2008.719970703125,650.5700073242188,307.943603515625,201.91000366210938,107.91999816894531,206.58999633789062,54.150001525878906,32.599998474121094
2020-02-01,146.44813537597656,369.0299987792969,1883.75,667.989990234375,271.9765319824219,192.47000122070312,101.37000274658203,208.0,48.11000061035156,31.270000457763672
2020-03-01,135.16934204101562,375.5,1949.719970703125,524.0,253.60350036621094,166.8000030517578,100.16999816894531,194.47999572753906,40.72999954223633,18.030000686645508
2020-04-01,150.42799377441406,419.8500061035156,2474.0,781.8800048828125,293.0068359375,204.7100067138672,114.26000213623047,202.6699981689453,47.790000915527344,22.350000381469727
2020-05-01,154.9036102294922,419.7300109863281,2442.3701171875,835.0,317.0816650390625,225.08999633789062,122.87999725341797,207.38999938964844,56.7400016784668,21.739999771118164
2020-06-01,155.99000549316406,455.0400085449219,2758.820068359375,1079.81005859375,364.79998779296875,227.07000732421875,132.0500030517578,215.6999969482422,70.30000305175781,23.1299991607666
2020-07-01,152.85000610351562,548.72998046875,3200.0,1544.6500244140625,383.67999267578125,245.07000732421875,140.80999755859375,261.010009765625,71.87000274658203,23.149999618530273
2020-07-13,154.8000030517578,525.5,3104.0,1497.06005859375,381.9100036621094,239.0,135.30999755859375,251.6699981689453,69.5199966430664,22.739999771118164
