Date,Adj Close
2018-01-01,268.73419189453125
2018-02-01,258.96295166015625
2018-03-01,250.85997009277344
2018-04-01,253.1663360595703
2018-05-01,259.3205871582031
2018-06-01,259.64599609375
2018-07-01,270.4740905761719
2018-08-01,279.1075439453125
2018-09-01,279.50177001953125
2018-10-01,261.36480712890625
2018-11-01,266.2129211425781
2018-12-01,241.36380004882812
2019-01-01,262.21112060546875
2019-02-01,270.7108459472656
2019-03-01,274.40228271484375
2019-04-01,286.8702697753906
2019-05-01,268.5762023925781
2019-06-01,285.8750305175781
2019-07-01,291.6087646484375
2019-08-01,286.72625732421875
2019-09-01,290.9617004394531
2019-10-01,298.76666259765625
2019-11-01,309.5814514160156
2019-12-01,317.01788330078125
2020-01-01,318.4478454589844
2020-02-01,293.2377014160156
2020-03-01,255.12054443359375
2020-04-01,289.20733642578125
2020-05-01,302.9866943359375
2020-06-01,307.00897216796875
2020-07-01,317.5899963378906
2020-07-13,314.80999755859375
